brand,product_name,protein_pct,fat_pct,carb_pct,phosphorus_mg_per_100kcal,calories,serving_size_oz,not_recommended,supplemental_only,source
BLUE,Flaked Fish & Shrimp,44.0,43.0,13.0,451.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Pate Indoor Chicken,34.0,58.0,8.0,385.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Mature Pate Chicken,31.0,57.0,11.0,395.0,92.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Kitten,30.0,64.0,6.0,373.0,116.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Chicken,35.0,58.0,7.0,398.0,85.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Fish,35.0,58.0,7.0,398.0,85.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Flaked Fish in Gravy,37.0,51.0,12.0,445.0,84.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Mature Chicken,33.0,59.0,8.0,411.0,91.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Kitten Turkey & Potato,32.0,60.0,9.0,390.0,109.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Turkey & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Duck & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Indoor Fish & Potato,30.0,53.0,17.0,511.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Mature Chicken,29.0,60.0,11.0,424.0,96.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Chicken & Salmon in Gravy,37.0,54.0,10.0,418.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Minced Chicken & Turkey,37.0,54.0,10.0,418.0,157.0,5.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Minced Chicken & Trout,37.0,54.0,10.0,418.0,151.0,5.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Flaked Red Meat,37.0,51.0,12.0,434.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
BLUE,Flaked Trout,37.0,51.0,12.0,434.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Chicken, Turkey, Lamb",29.0,66.0,5.0,239.0,199.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon & Mackerel,38.0,62.0,0.0,247.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey & Rabbit Slices,36.0,57.0,7.0,283.0,85.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Duck & Duck Liver Slices,38.0,51.0,11.0,337.0,76.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon Slices,32.0,64.0,4.0,223.0,87.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken Pate,28.0,68.0,4.0,224.0,110.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Chicken, Lamb & Fish",30.0,57.0,13.0,226.0,188.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken & Rice,27.0,64.0,9.0,227.0,188.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,"Indoor Chicken, Lamb & Fish",30.0,63.0,7.0,280.0,172.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken,27.0,64.0,9.0,227.0,106.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey,36.0,53.0,11.0,285.0,81.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Lamb,35.0,59.0,7.0,233.0,84.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Ocean Fish,35.0,53.0,12.0,279.0,78.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Yellowfin Tuna,38.0,52.0,10.0,223.0,76.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon,35.0,59.0,6.0,254.0,81.0,3.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Chicken,28.0,69.0,4.0,262.0,106.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Turkey,29.0,67.0,4.0,368.0,83.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Duck,28.0,70.0,3.0,242.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Salmon,37.0,63.0,1.0,243.0,95.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Seafood,37.0,58.0,5.0,369.0,77.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Trout,29.0,68.0,3.0,314.0,79.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Wingin’ it Chicken & Turkey,39.0,51.0,10.0,315.0,75.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
CANIDAE,Big Catch Tuna & Sardine,50.0,42.0,8.0,358.0,80.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Adult Formula,31.0,62.0,7.0,218.0,194.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Duck,37.0,62.0,1.0,387.0,190.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Kitten,36.0,58.0,6.0,298.0,208.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Weight & Mature Care,41.0,51.0,8.0,245.0,146.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Salmon Limited Ingredient,46.0,52.0,2.0,481.0,167.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken,33.0,64.0,3.0,286.0,186.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Turkey,33.0,64.0,3.0,288.0,183.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Turkey & Giblets,29.0,68.0,4.0,216.0,195.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Beef & Chicken Dinner,29.0,68.0,4.0,182.0,195.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Whitefish,28.0,69.0,4.0,209.0,197.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Chicken & Vegetable,33.0,52.0,16.0,300.0,171.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
SOUL,Salmon & Vegetable,29.0,58.0,13.0,381.0,171.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Trout & Brown Rice,30.0,59.0,11.0,242.0,190.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Chicken,29.0,64.0,8.0,204.0,208.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Turkey,34.0,57.0,10.0,250.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
DRS. FOSTER & SMITH,Chicken & Fish,36.0,45.0,19.0,254.0,201.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Chicken Catcciatori,54.0,27.0,20.0,240.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Monterey Medley,66.0,23.0,10.0,275.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Catalina Catch,70.0,29.0,1.0,291.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Harbor Harvest,57.0,28.0,15.0,281.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Chicken Jumble with Liver,38.0,39.0,23.0,236.0,147.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Chicken Fricatssee,45.0,30.0,25.0,232.0,125.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EARTHBORN,Ranch House Stew,36.0,46.0,18.0,331.0,138.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVO,Turkey in Gravy,29.0,69.0,2.0,300.0,208.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVO,Duck in Gravy,28.0,68.0,3.0,306.0,204.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVOLVE,Chicken,35.0,63.0,2.0,318.0,189.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVOLVE,Turkey,33.0,65.0,2.0,289.0,189.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVOLVE,Seafood,29.0,66.0,5.0,317.0,191.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
EVOLVE,Kitten,35.0,60.0,4.0,292.0,192.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Chicken Feast,40.0,57.0,3.0,430.0,91.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Tender Liver & Chicken Feast,43.0,55.0,2.0,478.0,89.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Turkey and Giblets Feast,39.0,58.0,2.0,355.0,96.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Chopped Grill Feast,41.0,56.0,3.0,498.0,91.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Tender Beef Feast,42.0,55.0,3.0,408.0,90.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Tender Beef & Liver Feast,38.0,60.0,2.0,380.0,95.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Tender Beef & Chicken Feast,38.0,59.0,3.0,415.0,95.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Seafood Feast,46.0,52.0,2.0,478.0,86.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Salmon & Shrimp Feast,43.0,56.0,1.0,456.0,87.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Savory Salmon Feast,27.0,72.0,1.0,267.0,90.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,"Cod, Sole & Shrimp Feast",48.0,50.0,1.0,474.0,84.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Roasted Chicken Feast,54.0,40.0,6.0,284.0,80.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Roasted Turkey Feast,56.0,38.0,6.0,265.0,81.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Flaked Chicken & Tuna Feast,52.0,44.0,5.0,325.0,102.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Flaked Tuna Feast,52.0,43.0,5.0,291.0,103.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Flaked Trout Feast,48.0,48.0,4.0,285.0,107.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Chunky Chopped Grill Feast,42.0,53.0,4.0,466.0,91.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Chunky Chicken Feast,47.0,50.0,4.0,453.0,88.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Chunky Turkey Feast,46.0,49.0,5.0,477.0,87.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Grilled Turkey Feast in Gravy,56.0,31.0,13.0,271.0,71.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Grilled Beef in Gravy,55.0,32.0,12.0,289.0,72.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Grilled Salmon in Gravy,56.0,31.0,13.0,266.0,71.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Grilled Seafood in Gravy,56.0,32.0,12.0,289.0,71.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Grilled Tuna in Gravy,58.0,28.0,14.0,282.0,68.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Sliced Chicken in Gravy,50.0,38.0,12.0,270.0,81.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Sliced Turkey in Gravy,51.0,37.0,13.0,275.0,80.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Sliced Beef in Gravy,48.0,38.0,14.0,265.0,81.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Florentine in a Delicate,56.0,31.0,13.0,402.0,71.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Wild Salmon Primavera Pate,42.0,54.0,4.0,419.0,89.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Shredded Turkey Fare,54.0,30.0,16.0,282.0,86.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Shredded Wild Salmon Fare,56.0,33.0,11.0,260.0,81.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Shredded Tuna Fare,63.0,23.0,14.0,279.0,86.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FANCY FEAST,Kitten Tender Turkey Feast,39.0,57.0,3.0,395.0,92.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Chicken,43.0,38.0,19.0,342.0,140.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Turkey,43.0,38.0,20.0,243.0,141.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Salmon,54.0,33.0,14.0,281.0,122.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Tuna,37.0,54.0,10.0,277.0,148.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Chicken & Tuna,38.0,46.0,17.0,212.0,146.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Turkey & Tuna,38.0,46.0,17.0,212.0,146.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Salmon & Tuna,41.0,45.0,13.0,212.0,146.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Adult Chicken Formula,31.0,62.0,7.0,288.0,177.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Chicken/Beef,33.0,59.0,8.0,278.0,174.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Grain-Free Chicken/Whitefish,30.0,70.0,0.0,287.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Grain-Free Turkey/Giblets,29.0,70.0,1.0,274.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Turkey/Salmon,31.0,62.0,7.0,273.0,173.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FIRST MATE,Grain-Free Salmon in Gravy,36.0,57.0,7.0,278.0,141.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,Select Chicken & Beef Roll,34.0,56.0,10.0,295.0,136.0,4.0,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,Ocean Whitefish w/,37.0,55.0,8.0,292.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,Beef w/Vegetables in Gravy,36.0,58.0,6.0,286.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,Pumpkin w/Vegetables in,37.0,54.0,9.0,305.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,Ocean Whitefish w/Carrots &,36.0,55.0,8.0,286.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRESHPET,"Whitefish w/carrots, eggs &",38.0,55.0,8.0,284.0,,,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Turkey & Giblets,37.0,59.0,5.0,335.0,177.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Poultry Platter,35.0,61.0,4.0,307.0,189.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Liver & Chicken,35.0,60.0,5.0,331.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Mixed Grill,35.0,60.0,5.0,320.0,180.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Country Style,37.0,58.0,5.0,355.0,179.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Supreme Supper,36.0,59.0,5.0,371.0,173.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Mariner’s Catch,38.0,56.0,6.0,361.0,174.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Sea Captain’s Choice,40.0,54.0,6.0,414.0,165.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Salmon,37.0,60.0,3.0,343.0,185.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Ocean Whitefish & Tuna,40.0,56.0,4.0,373.0,177.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Classic Seafood,38.0,57.0,5.0,329.0,177.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Beef in Gravy,50.0,36.0,14.0,320.0,134.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Chicken in Gravy,51.0,36.0,13.0,305.0,133.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Salmon in Sauce,50.0,38.0,12.0,278.0,136.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Turkey Dinner in Gravy,52.0,34.0,14.0,321.0,133.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Beef in Gravy,50.0,35.0,15.0,325.0,134.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Chicken in Gravy,52.0,34.0,14.0,274.0,134.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Salmon & Beef in Sauce,50.0,35.0,15.0,275.0,134.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Chicken Dinner in Gravy,48.0,39.0,14.0,244.0,154.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Turkey Dinner in Gravy,48.0,38.0,14.0,258.0,153.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Ocean Fish in Sauce,49.0,37.0,14.0,238.0,152.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Chicken Dinner in Gravy,48.0,40.0,13.0,261.0,152.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,Gourmet Grill in Gravy,47.0,39.0,13.0,262.0,151.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
FRISKIES,With Beef in Gravy,49.0,37.0,14.0,260.0,148.0,5.5,FALSE,FALSE,"Pierson, L.A. (2017). catinfo.org"
